# x_m                ,y_m                  ,w_tr_right_m         ,w_tr_left_m          ,psi                 ,kappa               ,s
-0.0000070343496532  ,0.5299656787795495   ,0.0027838305985261   ,0.5243926487981873   ,-1.5692785606038957 ,0.0002100024679213  ,  0.0000000000000000
0.0999605896692628   ,0.5301174063759874   ,0.1027448627145670   ,0.5245578124467301   ,-1.5692575671319591 ,0.0003155700992383  ,  0.0999677391624461
0.1999282072294831   ,0.5302733313073091   ,0.2027051596979429   ,0.5247286292870330   ,-1.5692154669451595 ,0.0004222706147499  ,  0.1999354783248913
0.2998958181185065   ,0.5304334762144894   ,0.3026647035651481   ,0.5249051572072587   ,-1.5691731402546165 ,0.0004245361363444  ,  0.2999032174873355
0.3998634221209586   ,0.5305978637420680   ,0.4026234763313041   ,0.5250874540867440   ,-1.5691305871096732 ,0.0004268019212345  ,  0.3998709566497788
0.4998310190186045   ,0.5307665165211296   ,0.5025814599764797   ,0.5252755778429825   ,-1.5690878074083445 ,0.0004290680209032  ,  0.4998386958122211
0.5997986085902540   ,0.5309394572165795   ,0.6025386365392470   ,0.5254695862952258   ,-1.5690448011896800 ,0.0004313337728523  ,  0.5998064349746625
0.6997661906118743   ,0.5311167084516698   ,0.7024949879690925   ,0.5256695373823919   ,-1.5690015684841516 ,0.0004336001400235  ,  0.6997741741371029
0.7997337648564411   ,0.5312982928851872   ,0.8024504962751124   ,0.5258754889403833   ,-1.5689581091382827 ,0.0004358665130974  ,  0.7997419132995420
0.8997013310939932   ,0.5314842331710424   ,0.9024051434490894   ,0.5260874988214778   ,-1.5689144233043697 ,0.0004381329113804  ,  0.8997096524619802
0.9996688890916566   ,0.5316745519375459   ,1.0023589114243028   ,0.5263056249480823   ,-1.5688705108250760 ,0.0004404000734512  ,  0.9996773916244175
1.0996364386134727   ,0.5318692718700376   ,1.1023117822360062   ,0.5265299250800575   ,-1.5688263717050299 ,0.0004426663897544  ,  1.0996451307868536
1.1996039794206022   ,0.5320684155958744   ,1.2022637377995380   ,0.5267604571430491   ,-1.5687820061087021 ,0.0004449328493859  ,  1.1996128699492885
1.2995715112711506   ,0.5322720057674839   ,1.3022147600659431   ,0.5269972789944407   ,-1.5687374138429655 ,0.0004472003413871  ,  1.2995806091117221
1.3995390339201730   ,0.5324800650508063   ,1.4021648310085002   ,0.5272404484456181   ,-1.5686925948945398 ,0.0004494683109161  ,  1.3995483482741549
1.4995065471197073   ,0.5326926161008944   ,1.5021139325667423   ,0.5274900233440641   ,-1.5686475491812306 ,0.0004517356058092  ,  1.4995160874365865
1.5994740506186782   ,0.5329096816000911   ,1.6020620467289350   ,0.5277460614525747   ,-1.5686022769201160 ,0.0004540026392514  ,  1.5994838265990168
1.6994415441630941   ,0.5331312841600166   ,1.7020091553303405   ,0.5280086207465230   ,-1.5685567779463911 ,0.0004562710767838  ,  1.6994515657614455
1.7994090274956509   ,0.5333574464959322   ,1.8019552404014405   ,0.5282777588963699   ,-1.5685110521441334 ,0.0004585390952483  ,  1.7994193049238734
1.8993765003561212   ,0.5335881912426024   ,1.9019002838081893   ,0.5285535338051782   ,-1.5684650997130520 ,0.0004608065900559  ,  1.8993870440863001
1.9993439624810692   ,0.5338235410753263   ,2.0018442674836447   ,0.5288360032601072   ,-1.5684189205581354 ,0.0004630751767883  ,  1.9993547832487253
2.0993114136039774   ,0.5340635186478309   ,2.1017871733129989   ,0.5291252251033779   ,-1.5683725145560805 ,0.0004653442118700  ,  2.0993225224111489
2.1992788534550702   ,0.5343081466600333   ,2.2017289832595570   ,0.5294212570499119   ,-1.5683258817405494 ,0.0004676134108747  ,  2.1992902615735717
2.2992462817615342   ,0.5345574477588954   ,2.3016696791649007   ,0.5297241569829225   ,-1.5682790220451062 ,0.0004698825866938  ,  2.2992580007359931
2.3992136982472121   ,0.5348114446575811   ,2.4016092430095455   ,0.5300339825557735   ,-1.5682319355408223 ,0.0004721509227201  ,  2.3992257398984123
2.4991811026329556   ,0.5350701599888061   ,2.5015476565945600   ,0.5303507916816061   ,-1.5681846223245306 ,0.0004744201903054  ,  2.4991934790608310
2.5991484946362484   ,0.5353336164463373   ,2.6014849018269697   ,0.5306746420987094   ,-1.5681370821131466 ,0.0004766915644558  ,  2.5991612182232480
2.6991158739713592   ,0.5356018367194505   ,2.7014209606013160   ,0.5310055915465660   ,-1.5680893147685777 ,0.0004789615014540  ,  2.6991289573856641
2.7990832403492236   ,0.5358748435294838   ,2.8013558148627977   ,0.5313436976797228   ,-1.5680413207162542 ,0.0004812303025363  ,  2.7990966965480784
2.8990505934778397   ,0.5361526594806155   ,2.9012894463225249   ,0.5316890184776805   ,-1.5679930997578557 ,0.0004835015676664  ,  2.8990644357104909
2.9990179330615008   ,0.5364353073337949   ,3.0012218369783326   ,0.5320416114823666   ,-1.5679446515990521 ,0.0004857725965903  ,  2.9990321748729025
3.0989852588014797   ,0.5367228097520064   ,3.1011529686288850   ,0.5324015345200754   ,-1.5678959765813993 ,0.0004880432888804  ,  3.0989999140353119
3.1989525703956621   ,0.5370151894278689   ,3.2010828231311788   ,0.5327688453026624   ,-1.5678470744306465 ,0.0004903149329598  ,  3.1989676531977196
3.2989198675385372   ,0.5373124690791571   ,3.3010113823717822   ,0.5331436014921155   ,-1.5677979452307482 ,0.0004925866084142  ,  3.2989353923601263
3.3988871499213791   ,0.5376146713816615   ,3.4009386281372485   ,0.5335258608833130   ,-1.5677485888914768 ,0.0004948584654775  ,  3.3989031315225304
