# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.6457742130570852,-4.9174640888152545,-2.6303862544234331,-4.9464310103272791
-2.5458373370644125,-4.9168964271913325,-2.5337900205905211,-4.9401753898537182
-2.4459004791399681,-4.9163512041098212,-2.4371170025207487,-4.9340998541869423
-2.3459646469428312,-4.9170798095995103,-2.3360849689257175,-4.9382476729577229
-2.2460308572994565,-4.9178804267931060,-2.2350152069941762,-4.9425674017520826
-2.1462143986745117,-4.9228176335407197,-2.1317782050969964,-4.9567622087517345
-2.0464088487791834,-4.9278808721444856,-2.0285617993793084,-4.9710895332004021
-1.9472285560425127,-4.9401678960136888,-1.9265259077196504,-4.9930123785343357
-1.8480824767141717,-4.9526447096258988,-1.8245740032543873,-5.0150151300176802
-1.7508549419295130,-4.9757641365779657,-1.7273317486431665,-5.0414986834569149
-1.6537121827757988,-4.9991501226602297,-1.6302547696643421,-5.0680083183067062
-1.5609917410690031,-5.0364411552631321,-1.5417993875353904,-5.0958784889102002
-1.4684131697059857,-5.0740186653651786,-1.4535213745714155,-5.1238816485906860
-1.3825539291900262,-5.1251644593361076,-1.3736440045452127,-5.1581835003272163
-1.2968827351287251,-5.1765784147867731,-1.2938999322703384,-5.1928293073827474
-1.2195436892054707,-5.2398743340752603,-1.2200621484844079,-5.2427154266047182
-1.1424818172470288,-5.3034567239802746,-1.1464500087771561,-5.2929444514314756
-1.0766697888151586,-5.3786662867803390,-1.0819962349342911,-5.3570912134484692
-1.0111828920589256,-5.4541184598452910,-1.0178328889789483,-5.4215226832840386
-0.9578211979627681,-5.5386183475735136,-0.9645005301534921,-5.4965718205380716
-0.9047457535166775,-5.6232759577798372,-0.9114293990533078,-5.5719472093795908
-0.8618206825561502,-5.7135263855124956,-0.8676213674038115,-5.6588914349427499
-0.8191272431028001,-5.8038744836452825,-0.8240415752907445,-5.7461545936872538
-0.7844715230565686,-5.8976117894043618,-0.7883817996460215,-5.8444848799244875
-0.7500290657362895,-5.9914184673166195,-0.7529487006356222,-5.9430124501965143
-0.7229043572869361,-6.0876055330501782,-0.7252936260196975,-6.0483094876429426
-0.6959994031133248,-6.1838452733728637,-0.6978689536552691,-6.1536706233899441
-0.6765703270084962,-6.2818769642927226,-0.6782823956262430,-6.2612123359557357
-0.6573700925688081,-6.3799445331035551,-0.6589250295961131,-6.3687280656636576
-0.6458654862761913,-6.4792186256803497,-0.6472750729518801,-6.4753700278596567
-0.6345611525752586,-6.5785089439357867,-0.6358270787496828,-6.5819663232884551
-0.6299346409374845,-6.6783402857727063,-0.6311132524134602,-6.6870399213625999
-0.6254792788924790,-6.7781745219146199,-0.6265729182395477,-6.7920582945628061
-0.6267276215201183,-6.8781052132140301,-0.6278143568459790,-6.8952362522152812
-0.6281487049030038,-6.9780286314743929,-0.6292238217864315,-6.9983112754535055
