# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.4762210568071894,-0.3693561326783924,-0.4916231098256165,-0.3101031252097137
-0.3880526284423269,-0.4165345095435427,-0.4006801793790699,-0.3677552823643364
-0.2998842949099111,-0.4637130625732171,-0.3097377436121900,-0.4254064347046498
-0.2119531256086198,-0.5113321813099985,-0.2200324405666567,-0.4805446706178928
-0.1240225426544784,-0.5589523652420649,-0.1303288235369923,-0.5356789149248455
-0.0367533181425627,-0.6077740147128569,-0.0425269141028888,-0.5863109074198798
0.0505164084833577,-0.6565947584279872,0.0452761936667636,-0.6369449216380925
0.1381614635223414,-0.7047384530428956,0.1339750529504581,-0.6890901666627366
0.2258066349020156,-0.7528819355068537,0.2226740960619150,-0.7412352978235115
0.3135194331123318,-0.8009020982937122,0.3114799950712472,-0.7933142418870012
0.4012319321520108,-0.8489228056378625,0.4002847777298120,-0.8453906992654032
0.4888031232658289,-0.8972007249267795,0.4885622719722000,-0.8962926152007225
0.5763741018220556,-0.9454790289748485,0.5768389573650462,-0.9471926492274008
0.6638604764986032,-0.9939104779508472,0.6647936979669119,-0.9973436308620528
0.7513472349699358,-1.0423412313911211,0.7527494076600790,-1.0474961907510638
0.8389661761481328,-1.0905324354720700,0.8410388819495546,-1.0981923169976919
0.9265853628653986,-1.1387231923047598,0.9293289336573413,-1.1488891762144735
1.0142789294418197,-1.1867784665737395,1.0177938996582707,-1.1998080702261389
1.1019736468515180,-1.2348316243610999,1.1062622251509970,-1.2507330148212861
1.1899794858346495,-1.2823126027507159,1.1956387711431549,-1.3032937020477811
1.2779834066169069,-1.3297970950235463,1.2850095752420718,-1.3558423581214525
1.3655176172996075,-1.3781420323398419,1.3729743611901837,-1.4054449442257471
1.4530491743996092,-1.4264917062643678,1.4609303530294950,-1.4550308693175895
1.5399913555926397,-1.4758934079896961,1.5469331229655359,-1.5009162881740790
1.6269337796523209,-1.5252946817905868,1.6329360588227764,-1.5468020121740031
1.7139257955116285,-1.5746085761885549,1.7189728747161390,-1.5927500444901306
1.8009182395560877,-1.6239217137913271,1.8050109320277674,-1.6386997370967211
1.8879916119445788,-1.6730918147151128,1.8912836213069977,-1.6849632298373840
1.9750667947401241,-1.7222586850079387,1.9775615787780447,-1.7312363686020922
2.0624602039129130,-1.7708576874371811,2.0647655587102194,-1.7792050483108228
2.1498556596708291,-1.8194529790570633,2.1519757336949867,-1.8271849642821656
2.2375872102804886,-1.8674388731467313,2.2402032742682989,-1.8770101247862736
2.3253193554576597,-1.9154236777091431,2.3284323041904651,-1.9268378749796269
2.4131432298260194,-1.9632403912608973,2.4168911091391192,-1.9770651594481683
2.5009625317577884,-2.0110653663022879,2.5053364380579004,-2.0272647407412223
2.5881164530661915,-2.0600925526842202,2.5918207361393311,-2.0734329580544144
2.6752658342446272,-2.1091276981136828,2.6782889974301738,-2.1195728038710353
2.7618270431809298,-2.1591939353544203,2.7626796981348982,-2.1620371322751497
2.8483944362162128,-2.2092492886417090,2.8470899077027840,-2.2045368158336749
2.9357145722544207,-2.2579798216392968,2.9338747817587065,-2.2513400115423940
3.0230374682931358,-2.3067053699873106,3.0206682322148062,-2.2981587763250424
3.1106808384675002,-2.3548521317521405,3.1084575210506173,-2.3467853253802811
3.1983264362055266,-2.4029948134870844,3.1962533914464704,-2.3954241868587616
3.2862190778585774,-2.4506850068942048,3.2847791778432045,-2.4454285353459175
3.3741094286231830,-2.4983793966890659,3.3732975199896464,-2.4954183250901569
3.4617563840311365,-2.5465196315417984,3.4610249480436486,-2.5438613217404460
3.5494038675199073,-2.5946589036506276,3.5487538567517714,-2.5923066612586392
3.6371051678705162,-2.6427000622625139,3.6366336593300024,-2.6409907630916143
3.7248067646134606,-2.6907406794044761,3.7245141580843377,-2.6896758439063135
3.8125373888209659,-2.7387282671759143,3.8124628375057559,-2.7384568022247393
3.9002676189719883,-2.7867165746906988,3.9004100837925817,-2.7872346805259469
