# x_m,y_m,w_tr_right_m,w_tr_left_m,psi,kappa,s,velocity,acceleration,time
-0.0071235864916634,0.2054990261854208,-0.0000364700574332,0.1922663345847523,0.0677640624248714,0.0000040239545291,0.0000000000000000,8.0000000000000000,0.0000000000000000,0.0000000000000000
0.0926089672495997,0.2122676728259313,0.0995078104027306,0.1993815219419157,0.0677636601824212,0.0022315029820691,0.0999619770367614,8.0000000000000000,0.0000000000000000,0.0124952471295952
0.1923415264003745,0.2190362392306812,0.1990520947190491,0.2064966318935473,0.0673179315252492,0.0044614624632488,0.1999239540377107,8.0000000000000000,0.0000000000000000,0.0249904942547138
0.2920800744718579,0.2257159758789641,0.2986006482201264,0.2135260454614777,0.0668717069659777,0.0047210037486385,0.2998859310744721,8.0000000000000000,0.0000000000000000,0.0374857413843090
0.3918186344529288,0.2323955333619777,0.3981492118846682,0.2205552831958243,0.0663740897890466,0.0049810135239953,0.3998479080220423,8.0000000000000000,0.0000000000000000,0.0499809885027553
0.4915637810316150,0.2389760034891357,0.4977033964533759,0.2274872761630567,0.0658758830474111,0.0052405543687190,0.4998098850588037,8.0000000000000000,0.0000000000000000,0.0624762356323505
0.5913089470268774,0.2455561768218591,0.5972575998558024,0.2344189738382973,0.0653263774389692,0.0055005637397781,0.5997718619325688,8.0000000000000000,0.0000000000000000,0.0749714827415711
0.6910612653772167,0.2520270219622240,0.6968187409100810,0.2412418967660949,0.0647761885958178,0.0057601098469990,0.6997338389693303,8.0000000000000000,0.0000000000000000,0.0874667298711663
0.7908136115627873,0.2584974339720069,0.7963799117275954,0.2480643839060549,0.0641747935039574,0.0060201245394094,0.7996958157460140,8.0000000000000000,0.0000000000000000,0.0999619769682518
0.8905736408242138,0.2648482933514434,0.8959492977884334,0.2547665849604408,0.0635726214954497,0.0062796817107761,0.8996577927827756,8.0000000000000000,0.0000000000000000,0.1124572240978469
0.9903337071443395,0.2711985645484869,0.9955187266821515,0.2614681886874065,0.0629193347084227,0.0065397075487491,0.9996197694362606,8.0000000000000000,0.0000000000000000,0.1249524711795326
1.0901019491165453,0.2774190747263944,1.0950976050905810,0.2680380138780964,0.0622651773063259,0.0067992816265687,1.0995817464730222,8.0000000000000000,0.0000000000000000,0.1374477183091278
1.1898702380572568,0.2836388229444809,1.1946765414071454,0.2746070591525181,0.0615599954444201,0.0070593244743428,1.1995437229743584,8.0000000000000000,0.0000000000000000,0.1499429653717948
1.2896471539826524,0.2897186174734596,1.2942661140550471,0.2810328525704229,0.0608538492481070,0.0073189212170452,1.2995057000111201,8.0000000000000000,0.0000000000000000,0.1624382125013900
1.3894241273425851,0.2957974575284668,1.3938557615421534,0.2874576624291281,0.0600967677804207,0.0075789868573988,1.3994676763285334,8.0000000000000000,0.0000000000000000,0.1749334595410667
1.4892101346852442,0.3017261666382796,1.4934571806237458,0.2937277664742527,0.0593386282331565,0.0078386123353187,1.4994296533652947,8.0000000000000000,0.0000000000000000,0.1874287066706618
1.5889962103429294,0.3076537100109982,1.5930586931662698,0.2999966622592724,0.0585296414152459,0.0080987068598744,1.5993916294641930,8.0000000000000000,0.0000000000000000,0.1999239536830241
1.6887916795645870,0.3134209603027059,1.6926730569260922,0.3060994178949852,0.0577195027424435,0.0083583669086348,1.6993536065009545,8.0000000000000000,0.0000000000000000,0.2124192008126193
1.7885872282427675,0.3191868148320672,1.7922875342790086,0.3122007195084508,0.0568586036632523,0.0086184961756267,1.7993155823439362,8.0000000000000000,0.0000000000000000,0.2249144477929920
1.8883924795741589,0.3247822290058190,1.8919158827951663,0.3181244664905781,0.0559964589191333,0.0088781966642575,1.8992775593806976,8.0000000000000000,0.0000000000000000,0.2374096949225872
1.9881978215994283,0.3303759986158468,1.9915443663517700,0.3240464926244898,0.0550836394943193,0.0091383665662157,1.9992395349275578,8.0000000000000000,0.0000000000000000,0.2499049418659447
2.0880131218072968,0.3357891952233091,2.0911876773415701,0.3297795697230387,0.0541694805550574,0.0093981134762905,2.0992015119643188,8.0000000000000000,0.0000000000000000,0.2624001889955399
2.1878285238653818,0.3412004796748069,2.1908311459240473,0.3355106380818857,0.0532047315044970,0.0096583300123630,2.1991634871720556,8.0000000000000000,0.0000000000000000,0.2748954358965069
2.2876540830149792,0.3464210728947584,2.2904903305580229,0.3410413833213339,0.0522385490469042,0.0099181288480175,2.2991254642088168,8.0000000000000000,0.0000000000000000,0.2873906830261021
2.3874797549014746,0.3516394675605402,2.3901496962170206,0.3465698108625245,0.0512218599901488,0.0101783975488470,2.3990874390316366,8.0000000000000000,0.0000000000000000,0.2998859298789546
2.4873157231130048,0.3566570670228746,2.4898255949943024,0.3518865617029365,0.0502036435853408,0.0104382542847982,2.4990494160683983,8.0000000000000000,0.0000000000000000,0.3123811770085498
2.5871518144780468,0.3616721627111970,2.5895016988693391,0.3572006648189275,0.0491350029475417,0.0106985811410681,2.5990113904577230,8.0000000000000000,0.0000000000000000,0.3248764238072154
2.6869982786788258,0.3664763733331972,2.6891950774878071,0.3622917583751752,0.0480647409689658,0.0109585012232880,2.6989733674944842,8.0000000000000000,0.0000000000000000,0.3373716709368105
2.7868448757674282,0.3712777561240441,2.7888886856631840,0.3673798531128832,0.0469441360865877,0.0112188917017317,2.7989353413989542,8.0000000000000000,0.0000000000000000,0.3498669176748693
2.8867018564374423,0.3758581780005260,2.8886002309436840,0.3722336263332755,0.0458218158147738,0.0114788805816959,2.8988973184357159,8.0000000000000000,0.0000000000000000,0.3623621648044645
