# x_m,y_m,w_tr_right_m,w_tr_left_m,psi,kappa,s,velocity,acceleration,time
0.0049606002325386,-0.0697696172684989,0.9136946087675357,0.9544595604594048,0.1436328672075589,0.0844028376147455,0.0000000000000000,4.3933947508031084,-4.7583580086472645,0.0000000000000000
0.1039240807680975,-0.0554566457253361,0.9063226774562292,0.9174616419196594,0.1351931609356616,0.2039007405284325,0.0999931579364676,4.2837262924503552,-4.7221545733066419,0.0230475424828176
0.2031150844056659,-0.0428160740785308,0.9079731315711710,0.8971306762695183,0.1028555015362858,0.1660360339929561,0.1999863539759287,4.1720431796274458,-3.6375704105582241,0.0466984228360849
0.3027966369368646,-0.0349290692962952,0.9004391927993849,0.9459246956611855,0.1019882322182695,-0.2915391231886105,0.2999794375340686,4.0839295450157751,0.0000000000000000,0.0709216335692481
0.4020082583306827,-0.0224606856814153,0.8916426658008283,0.9350715781667062,0.1611589866982577,-0.5096387518873464,0.3999714692643925,4.0839295450157751,0.0000000000000000,0.0954059031013606
0.5000621954356007,-0.0028598334583738,0.8995187370472282,0.9054673440521852,0.2039087821589272,-0.0406111186563254,0.4999653090228733,4.0839295450157751,7.8226682482436765,0.1198906153512372
0.5978483842066743,0.0180356608956691,0.9130069764656056,0.8873633069913396,0.1692807085394394,0.4304467446567254,0.5999591108241443,4.2711728138061451,0.6473956758948137,0.1438266002157889
0.6970226956934233,0.0308039515670329,0.9052839544701445,0.9028603301315767,0.1178251719115064,0.1943310221309393,0.6999519770973899,4.2863022646434956,4.9296752351161626,0.1671963127435085
0.7964362459709097,0.0415431938952647,0.8995300549958314,0.9156621154981345,0.1304174594080796,-0.1169688232191094,0.7999439032942524,4.3998002850648152,5.4994438794138878,0.1902197402530583
0.8952581574799248,0.0568048985050929,0.9066382626908844,0.8979012443070096,0.1412172258970199,0.0475871406443322,0.8999373521891337,4.5230586188407189,-2.7545351546447265,0.2126326126231715
0.9944177652300936,0.0696889410641572,0.9160700672913761,0.9286087308442164,0.1209006698763622,0.2886125476814351,0.9999304837624130,4.4617474241810333,0.0000000000000000,0.2348908853325620
1.0937773652353751,0.0809236326663495,0.9266548542296448,0.9673410240699810,0.0834987934883427,0.4269814055646718,1.0999232255420337,4.4617474241810333,0.0000000000000000,0.2573020019362713
1.1936230711198648,0.0863611081698063,0.9211707490250888,0.9495469751801900,0.0355101969080276,0.1739552788663054,1.1999168809578786,4.4617474241810333,5.0370391986785217,0.2797133233109228
1.2936015448179841,0.0880224126737156,0.9039951600257921,0.9262164592402228,0.0487101851274221,-0.2265826100103035,1.2999091563378311,4.5732395627709952,3.7611334489703174,0.3018477825025868
1.3932691410827001,0.0960936037883229,0.8994536818052559,0.9074709092998282,0.0808235795056094,-0.1100922046453012,1.3999030255058704,4.6547503338561125,6.1146651557911174,0.3235196461019580
1.4929354486462032,0.1041684653846446,0.8947693529719893,0.9187392524310978,0.0707271673546261,-0.0639340698061802,1.4998959065181832,4.7843021059753221,7.0365781272071617,0.3447067052161456
1.5927438787945518,0.1102254588855336,0.8981743512281763,0.9618327606071173,0.0936094299926231,-0.1920192414649089,1.5998879556968433,4.9291733965777942,3.8345564232124527,0.3652950207273914
1.6919378857619958,0.1228515736455840,0.9197462977246285,0.9745811920336185,0.1091284037980329,0.0491303537938438,1.6998823044981195,5.0063577897002158,7.2686155646585959,0.3854236574205919
1.7915118101277845,0.1320032051271994,0.9316978918585558,0.9682164688784356,0.0837839516251604,0.1544496221930704,1.7998758981548089,5.1494901010614971,4.4044210183214796,0.4051154832006232
1.8912167553340253,0.1395871229459178,0.9349421399273411,0.9556191401853439,0.0782405562513446,0.0194715678814558,1.8998688574472538,5.2343166205450320,7.9665166107476670,0.4243748862256007
1.9908855862420551,0.1476342288415619,0.9229069535907257,0.9276774933079255,0.0798899083551652,-0.0053563113382248,1.9998620160525762,5.3843537032864788,8.3447137596310395,0.4432083475829812
2.0905651199602198,0.1555470141056082,0.9135936610082581,0.9025037878690454,0.0793117449577254,0.0010887512656329,2.0998551238795939,5.5371556351252753,8.4666187854561130,0.4615195726579505
2.1902431236574178,0.1634788597181983,0.9146314233184085,0.8876181842397499,0.0796721731261878,0.0175199567013265,2.1998482166204458,5.6879960726455057,7.9331715967259235,0.4793354731186329
2.2899169572401434,0.1714634999130215,0.9213403535281185,0.8786693927288525,0.0758079948601511,0.0827609280830801,2.2998413542855758,5.8257896255885973,-3.9575938916452307,0.4967047624706948
2.3896531011497082,0.1786247551291348,0.9293800269612880,0.8904263789277461,0.0631211422475706,0.0737417402628135,2.3998342639253085,5.7574614288607826,-4.3030401318046563,0.5139698479237679
2.4894976654711458,0.1840780198928020,0.9338787896929073,0.9569420228058650,0.0610606581736457,0.1299858902309128,2.4998276393114827,5.6822364514702324,-1.0376254009078070,0.5314516689355095
2.5892610173816215,0.1908281159950773,0.9405402102290922,0.9594597897709080,0.0371259366164212,0.2326154595250733,2.5998190898550333,5.6639477180233406,-0.7805446729729055,0.5490772334512695
2.6892535439228014,0.1914975531561141,0.9414961397106553,0.9584758265420579,0.0145407721847439,0.0687031250598474,2.6998138572691390,5.6501507047548136,-6.2965015917655514,0.5667533687786397
2.7892214564540541,0.1937359001233435,0.9423637002475498,0.9548199183073827,0.0233861541911264,-0.0476338837301786,2.7998068256869328,5.5375979645352835,-7.0258969516486411,0.5846288093831056
2.8891848677090302,0.1961740304937494,0.9209467834103091,0.9286199423715095,0.0240668872260974,-0.0022676325427001,2.8997999657988154,5.4092428509200445,-8.4336303758541540,0.6028976673664439
