# x_m,y_m,w_tr_right_m,w_tr_left_m,psi,kappa,s,velocity,acceleration,time
-11.2334803058044042,22.2859711039759141,1.0115502097660827,0.8269274213189407,-2.3815480871172845,-0.0001510841049302,160.2899878710153985,4.1721090331319264,8.4973701554666228,36.0210578274193836
-11.3059602155510621,22.2170781749076092,1.0090149300100149,0.8294627010750086,-2.3815422051125639,0.0001664534068410,160.3899857359550651,4.3710332337604836,-4.7728510812742471,36.0444679174812563
-11.3784374193246833,22.1481824840363188,1.0064795150489640,0.8319981160360594,-2.3815813770781347,-0.0004242879896018,160.4899835423683783,4.2604439033636989,-8.4812738193464821,36.0676384142165674
-11.4509227961221409,22.0792951670704269,1.0039444501027732,0.8345331809822504,-2.3814573493103008,0.0011380125321524,160.5899815037887493,4.0564962799617854,-8.4613175208337505,36.0916852293231258
-11.5233826162403918,22.0103817770222889,1.0014092198053155,0.8370684112797079,-2.3818089743106556,-0.0026202418107054,160.6899789080525522,3.8422574733968022,-8.3535877874236277,36.1170050221375973
-11.5959175323491639,21.9415443954913343,0.9987653125930311,0.8394998787836884,-2.3809333090708642,0.0111831349596730,160.7899784038060034,3.6183191344772854,-6.3452197964544919,36.1438124663900737
-11.6682523289759459,21.8725082259751566,0.9930342815294257,0.8388355179444771,-2.3840455014698638,0.1822486852110984,160.8899699809738024,3.4385020414530474,-5.8566035035849353,36.1721514520820620
-11.7412268665384278,21.8041117481176023,0.9749005208679440,0.8331104185137548,-2.4173845737825470,0.2481647957076751,160.9899867861406051,3.2637062897819207,-5.8376836906201142,36.2019973775513435
-11.8179888669118149,21.7400601696663074,0.9514430939279854,0.8547084244571846,-2.4336764378374993,-0.2404996138859580,161.0899618300437055,3.0796969622736889,-0.4834878785722548,36.2335183261433187
-11.8931480413912798,21.6740806103924939,0.9411458670967644,0.8837840519925033,-2.3692880030774042,-0.8539264413017231,161.1899728481887166,3.0639558008307208,0.0000000000000000,36.2660758361463635
-11.9610621783530533,21.6006853083707711,0.9362459576661755,0.8767749823393906,-2.2628851551367672,-0.9054280266929785,161.2899688498993953,3.0639558008307208,0.0000000000000000,36.2987120777277781
-12.0205754900699890,21.5203412684200757,0.9272326442816495,0.8704107282178956,-2.1882196047462195,-0.4596232298294756,161.3899538439090691,3.0639558008307208,4.1851374837380373,36.3313447266656553
-12.0768207366646365,21.4376510903157076,0.9252741938464389,0.8672283097766481,-2.1709646639677764,-0.1037255892838204,161.4899598103282017,3.1976401590486301,7.4394159538186004,36.3632873710201991
-12.1335325235768412,21.3552920568572233,0.9208250438833395,0.8692614762655145,-2.1674742636531770,-0.0129592683059052,161.5899559960904242,3.4223864518960130,8.3482116019561534,36.3934975776066452
-12.1891946395313013,21.2722179766475037,0.9289694619323672,0.8686897000090466,-2.1683728873427635,-0.0281382061766631,161.6899538658438189,3.6581874991604670,8.1234450767247441,36.4217432736320319
-12.2460564139675743,21.1899579776705167,0.9309827824038599,0.8825250045512207,-2.1618466867453865,-0.1123989914410378,161.7899537099623615,3.8738898102256552,6.8132258332438331,36.4482963319746318
-12.3006251705163869,21.1061709032328935,0.9301941187179993,0.8710258328768651,-2.1458942176752576,-0.0777045811231908,161.8899438246442628,4.0459279191070152,7.2280123162964731,36.4735469420515699
-12.3548315626781644,21.0221428757999931,0.9261815247646613,0.8750637327775488,-2.1463069107348831,-0.1258035463507439,161.9899390362569136,4.2207897328371597,6.2588015226495983,36.4977391827504292
-12.4094835904972243,20.9383790895083344,0.9154442712348435,0.8952106637023939,-2.1207320880185012,-0.2719913228740544,162.0899551151574940,4.3665807610358645,3.3139339553989777,36.5210329439715053
-12.4593112932531938,20.8517075380872043,0.9262675744010231,0.8702047110651550,-2.0919114029545058,-0.2662030372817173,162.1899289006599076,4.4418060051628778,3.2479097511305777,36.5437326251176700
-12.5090483816538942,20.7649343808359319,0.9254546978272040,0.8799036134313571,-2.0674939887266053,-0.2136143468283256,162.2899456931596376,4.5143473081691807,4.1466823874576644,36.5660673907253226
-12.5545860072593261,20.6759311608483713,0.9241460213519193,0.8959940485536736,-2.0491900220009214,-0.1137223078878861,162.3899219329065602,4.6052655779900427,4.8062634292389532,36.5879929353717728
-12.6011071761295881,20.5874103461646101,0.9226269962739034,0.9055232462512421,-2.0447521417760655,-0.1380235199787040,162.4899227018302668,4.7084743942138543,-1.9993480503341359,36.6094667513086875
