# x_m,y_m,w_tr_right_m,w_tr_left_m,psi,kappa,s
0.0049606002325388,-0.0697696172684998,0.9136946087675348,0.9544595604594057,-1.4271634595873497,-0.0844028376146701,0.0000000000000000
0.1039240807680978,-0.0554566457253382,0.9063226774562270,0.9174616419196615,-1.4356031658592394,-0.2039007405283517,0.0999931579364674
0.2031150844056659,-0.0428160740785326,0.9079731315711690,0.8971306762695204,-1.4679408252586066,-0.1660360339928875,0.1999863539759285
0.3027966369368645,-0.0349290692962965,0.9004391927993838,0.9459246956611868,-1.4688080945766178,0.2915391231886676,0.2999794375340681
0.4020082583306823,-0.0224606856814153,0.8916426658008283,0.9350715781667061,-1.4096373400966233,0.5096387518873207,0.3999714692643919
0.5000621954355997,-0.0028598334583721,0.8995187370472298,0.9054673440521839,-1.3668875446359654,0.0406111186561889,0.4999653090228725
0.5978483842066735,0.0180356608956698,0.9130069764656061,0.8873633069913393,-1.4015156182554689,-0.4304467446568113,0.5999591108241435
0.6970226956934226,0.0308039515670322,0.9052839544701439,0.9028603301315775,-1.4529711548834032,-0.1943310221309151,0.6999519770973889
0.7964362459709090,0.0415431938952627,0.8995300549958296,0.9156621154981363,-1.4403788673868239,0.1169688232191973,0.7999439032942512
0.8952581574799239,0.0568048985050908,0.9066382626908825,0.8979012443070106,-1.4295791008978722,-0.0475871406442424,0.8999373521891324
0.9944177652300924,0.0696889410641561,0.9160700672913749,0.9286087308442174,-1.4498956569185233,-0.2886125476813757,0.9999304837624114
1.0937773652353735,0.0809236326663495,0.9266548542296456,0.9673410240699811,-1.4872975333065375,-0.4269814055646242,1.0999232255420319
1.1936230711198632,0.0863611081698084,0.9211707490250912,0.9495469751801882,-1.5352861298868483,-0.1739552788662777,1.1999168809578769
1.2936015448179823,0.0880224126737198,0.9039951600257964,0.9262164592402188,-1.5220861416674525,0.2265826100103162,1.2999091563378291
1.3932691410826978,0.0960936037883294,0.8994536818052628,0.9074709092998205,-1.4899727472892641,0.1100922046453359,1.3999030255058680
1.4929354486462005,0.1041684653846533,0.8947693529719982,0.9187392524310898,-1.5000691594402416,0.0639340698062647,1.4998959065181805
1.5927438787945489,0.1102254588855458,0.8981743512281886,0.9618327606071062,-1.4771868968022335,0.1920192414649967,1.5998879556968406
1.6919378857619922,0.1228515736456006,0.9197462977246453,0.9745811920336017,-1.4616679229968172,-0.0491303537937984,1.6998823044981166
1.7915118101277803,0.1320032051272207,0.9316978918585775,0.9682164688784144,-1.4870123751696871,-0.1544496221931285,1.7998758981548058
1.8912167553340204,0.1395871229459441,0.9349421399273684,0.9556191401853190,-1.4925557705435171,-0.0194715678816935,1.8998688574472504
1.9908855862420498,0.1476342288415902,0.9229069535907544,0.9276774933078985,-1.4909064184397298,0.0053563113379295,1.9998620160525724
2.0905651199602144,0.1555470141056348,0.9135936610082849,0.9025037878690191,-1.4914845818371953,-0.0010887512658306,2.0998551238795899
2.1902431236574129,0.1634788597182217,0.9146314233184318,0.8876181842397265,-1.4911241536687467,-0.0175199567014775,2.1998482166204418
2.2899169572401390,0.1714634999130406,0.9213403535281371,0.8786693927288322,-1.4949883319347999,-0.0827609280831713,2.2998413542855722
2.3896531011497038,0.1786247551291473,0.9293800269613015,0.8904263789277286,-1.5076751845473821,-0.0737417402627384,2.3998342639253045
2.4894976654711409,0.1840780198928098,0.9338787896929154,0.9569420228058616,-1.5097356686212902,-0.1299858902307568,2.4998276393114782
2.5892610173816166,0.1908281159950819,0.9405402102290973,0.9594597897709028,-1.5336703901785003,-0.2326154595248948,2.5998190898550289
2.6892535439227965,0.1914975531561169,0.9414961397106583,0.9584758265420552,-1.5562555546101562,-0.0687031250596334,2.6998138572691346
2.7892214564540483,0.1937359001233473,0.9423637002475564,0.9548199183073813,-1.5474101726037521,0.0476338837303464,2.7998068256869275
2.8891848677090244,0.1961740304937557,0.9209467834103160,0.9286199423715034,-1.5467294395687692,0.0022676325428034,2.8997999657988101
2.9891497789314099,0.1985484817228481,0.9059185733475085,0.9088154732201834,-1.5469566772811572,-0.0008952269536905,2.9997930730329525
3.0891142620843164,0.2009411803203641,0.9015271453041822,0.8996475443287728,-1.5469084726246138,0.0004314169171596,3.0997861872889168
3.1890789600831253,0.2033252694732751,0.9033372260724883,0.8966817872341261,-1.5468703998350337,-0.0008077601176034,3.1997793106878891
3.2890432239209759,0.2057255790362566,0.9057168808178127,0.8942831191821874,-1.5470700135017013,0.0039556873418435,3.2997723881014860
3.3890089837874351,0.2080697621707987,0.9081062725178946,0.8918937274821055,-1.5460793164848727,-0.0740633484169469,3.3997656295743317
3.4889676313799169,0.2106681192339885,0.9104973635395338,0.8895026364604662,-1.5618816207185671,0.0198802870123947,3.4997580427262593
3.5889563646830096,0.2098522815225815,0.9101621409504531,0.8898378590495469,-1.5421035677292079,0.3285547837504137,3.5997501043048086
3.6887367753158955,0.2164016206510892,0.9175380782903445,0.8841157833430527,-1.4961748752506525,0.1415052561959921,3.6997452251312146
3.7883797109241089,0.2247612241608914,0.9228632616266292,0.9771367383733709,-1.5138041991972360,-0.4216006047510768,3.7997382128226707
3.8883229578012992,0.2277887934023935,0.9273258531059564,0.9726741468940437,-1.5804874415210839,-0.4520637668882295,3.8997273060872217
3.9881947408127409,0.2228247331582478,0.9230651949350938,0.9769348050649064,-1.6042097954214047,-0.0490095310711120,3.9997223806458817
4.0881736880559654,0.2211086010563918,0.9210278610584210,0.9789721389415791,-1.5902887963469554,0.0607145422300309,4.0997160554521139
4.1881428832883465,0.2189267563795109,0.9189478853373875,0.9810521146626127,-1.5920676958892461,-0.0069435419153310,4.1997090574152711
